Date,-1,1,-1,1,-1,1,-1,1,avgPrice_chang,stock_price_movement
2/01/2018,0.25,0.75,0.27906977,0.72093023,-0.2399875,1,0.248,0.752,0,-1
3/01/2018,0.25,0.75,0.30263158,0.69736842,-0.0649214,1,0.29370629,0.70629371,0.0059,-1
4/01/2018,0.6,0.4,0.34615385,0.65384615,-0.1381421,1,0.24719101,0.75280899,-0.0103,1
5/01/2018,0.14285714,0.85714286,0.05882353,0.94117647,-0.0182799,1,0.18115942,0.81884058,0.0041,1
8/01/2018,0.27272727,0.72727273,0.26,0.74,-0.1015382,1,0.21311475,0.78688525,0.0014,-1
9/01/2018,0.22580645,0.77419355,0.12820513,0.87179487,-0.0716704,1,0.20253165,0.79746835,0.0011,-1
10/01/2018,0.15,0.85,0.15,0.85,-0.2338512,1,0.17006803,0.82993197,-0.0053,1
11/01/2018,0.28571429,0.71428571,0.15853659,0.84146342,-0.3686045,1,0.20858896,0.79141104,0.0157,1
12/01/2018,0.38461539,0.61538462,0.37313433,0.62686567,-0.3538606,1,0.30821918,0.69178082,0.0081,1
16/01/2018,0.31818182,0.68181818,0.16574586,0.83425414,-0.0335598,1,0.19860627,0.80139373,0.0066,-1
17/01/2018,0.20512821,0.7948718,0.20634921,0.79365079,-0.3521261,1,0.26666667,0.73333333,-0.0032,-1
18/01/2018,0.34285714,0.65714286,0.30714286,0.69285714,-1,0.6254292,0.35069444,0.64930556,-0.0066,1
19/01/2018,0.51330799,0.48669202,0.37204301,0.62795699,-0.2428474,1,0.40689655,0.59310345,0.0015,-1
22/01/2018,0.11111111,0.88888889,0.13924051,0.86075949,-0.1318987,1,0.23414634,0.76585366,-0.0029,-1
23/01/2018,0.48484849,0.51515152,0.59405941,0.40594059,-1,0.40805435,0.56812339,0.43187661,-0.0095,-1
24/01/2018,0.25806452,0.74193548,0.29357798,0.70642202,-0.0588076,1,0.31707317,0.68292683,-0.0202,-1
25/01/2018,0.33333333,0.66666667,0.28070175,0.71929825,-0.3359475,1,0.34042553,0.65957447,-0.0026,-1
