Date,-1,1,-1,1,-1,1,-1,1,avgPrice_chang,lag 1(0.8),,lag2(.6),,lag3(),,stock_price_movement
2/01/2018,0.35294118,0.64705882,0.27777778,0.72222222,-0.1081134,1,0.19354839,0.80645161,0,-0.10353344,0.8,-0.0366384,0.48,-0.021508157,0.144,1
3/01/2018,0.125,0.875,0.125,0.875,-0.1294168,1,0.13513514,0.86486487,0.018,-0.061064,0.8,-0.071693856,0.48,-0.004487472,0.144,1
4/01/2018,0.23529412,0.76470588,0.16666667,0.83333333,-0.07633,1,0.17525773,0.82474227,0.0076,-0.11948976,0.8,-0.01495824,0.48,-0.012124973,0.144,1
5/01/2018,0.29166667,0.70833333,0.20895522,0.79104478,-0.1493622,1,0.16470588,0.83529412,0.0147,-0.0249304,0.8,-0.040416576,0.48,-0.052356197,0.144,-1
8/01/2018,0.16666667,0.83333333,0.07407407,0.92592593,-0.031163,1,0.25773196,0.74226804,-0.0013,-0.06736096,0.8,-0.174520656,0.48,-0.07621308,0.144,1
9/01/2018,0.09090909,0.90909091,0.1,0.9,-0.0842012,1,0.12605042,0.87394958,-0.0012,-0.29086776,0.8,-0.2540436,0.48,-0.040115218,0.144,1
10/01/2018,0.2,0.8,0.18644068,0.81355932,-0.3635847,1,0.1409396,0.8590604,0.0006,-0.423406,0.8,-0.133717392,0.48,-0.144,0.122438563,1
11/01/2018,0.2,0.8,0.31578947,0.68421053,-0.5292575,1,0.24444444,0.75555556,0.0089,-0.22286232,0.8,-0.48,0.408128544,-0.04840236,0.144,1
12/01/2018,0.33333333,0.66666667,0.51020408,0.48979592,-0.2785779,1,0.33980583,0.66019418,0.0054,-0.8,0.68021424,-0.1613412,0.48,-0.144,0.031512339,1
16/01/2018,0.23076923,0.76923077,0.26470588,0.73529412,-1,0.8502678,0.27586207,0.72413793,0.0063,-0.268902,0.8,-0.48,0.105041131,-0.024755904,0.144,1
17/01/2018,0.09090909,0.90909091,0.15789474,0.84210526,-0.3361275,1,0.12,0.88,0.0108,-0.8,0.175068552,-0.08251968,0.48,-0.04797563,0.144,1
18/01/2018,0.33333333,0.66666667,0.78048781,0.2195122,-1,0.21883569,0.56060606,0.43939394,0.0017,-0.1375328,0.8,-0.159918768,0.48,-0.04986913,0.144,1
19/01/2018,0,1,0.27777778,0.72222222,-0.171916,1,0.18867925,0.81132076,0.0071,-0.26653128,0.8,-0.166230432,0.48,-0.013642315,0.144,1
22/01/2018,0.33333333,0.66666667,0.31914894,0.68085106,-0.3331641,1,0.23611111,0.76388889,0.0046,-0.27705072,0.8,-0.045474384,0.48,-0.144,0.072809211,1
23/01/2018,0.36363636,0.63636364,0.23404255,0.76595745,-0.3463134,1,0.24489796,0.75510204,0.0011,-0.07579064,0.8,-0.48,0.24269737,-0.144,0.042648538,-1
24/01/2018,0.11111111,0.88888889,0.23076923,0.76923077,-0.0947383,1,0.27027027,0.72972973,-0.0107,-0.8,0.404495616,-0.48,0.142161792,-0.144,0.007733568,-1
25/01/2018,0.45977012,0.54022989,0.51965066,0.48034935,-1,0.50561952,0.46171694,0.53828306,-0.0217,-0.8,0.23693632,-0.48,0.025778558,-0.008464522,0.144,-1
26/01/2018,0.4137931,0.5862069,0.57692308,0.42307692,-1,0.2961704,0.41772152,0.58227848,-0.0229,-0.8,0.042964264,-0.028215072,0.48,-0.027452347,0.144,-1
29/01/2018,0.66666667,0.33333333,0.66666667,0.33333333,-1,0.05370533,0.42718447,0.57281553,-0.0005,-0.04702512,0.8,-0.091507824,0.48,-0.041105779,0.144,-1
30/01/2018,0.1,0.9,0.34615385,0.65384615,-0.0587814,1,0.22608696,0.77391304,-0.0211,-0.15251304,0.8,-0.137019264,0.48,-0.014455742,0.144,-1
31/01/2018,0.5,0.5,0.2,0.8,-0.1906413,1,0.32894737,0.67105263,-0.0046,-0.22836544,0.8,-0.048185808,0.48,-0.084066638,0.144,-1
1/02/2018,0.3,0.7,0.10714286,0.89285714,-0.2854568,1,0.20895522,0.79104478,0.0075,-0.08030968,0.8,-0.280222128,0.48,-0.118423814,0.144,1
2/02/2018,0.16666667,0.83333333,0.2,0.8,-0.1003871,1,0.16504854,0.83495146,0.0012,-0.46703688,0.8,-0.394746048,0.48,-0.014222376,0.144,-1
5/02/2018,0.1,0.9,0.1025641,0.8974359,-0.5837961,1,0.18947368,0.81052632,-0.0068,-0.65791008,0.8,-0.04740792,0.48,-0.144,0.142344207,-1
6/02/2018,0.52,0.48,0.42424242,0.57575758,-0.8223876,1,0.41904762,0.58095238,-0.0247,-0.0790132,0.8,-0.48,0.474480691,-0.000586138,0.144,1
7/02/2018,0.05263158,0.94736842,0.17142857,0.82857143,-0.0987665,1,0.18571429,0.81428571,0.0003,-0.8,0.790801152,-0.001953792,0.48,-0.060891581,0.144,-1
8/02/2018,0.42857143,0.57142857,0.24489796,0.75510204,-1,0.98850144,0.21839081,0.7816092,-0.0008,-0.00325632,0.8,-0.202971936,0.48,-0.03210588,0.144,-1
9/02/2018,0.375,0.625,0.09677419,0.90322581,-0.0040704,1,0.17460318,0.82539683,-0.0025,-0.33828656,0.8,-0.1070196,0.48,-0.005359666,0.144,-1
12/02/2018,0.33333333,0.66666667,0.32142857,0.67857143,-0.4228582,1,0.30487805,0.69512195,-0.0115,-0.178366,0.8,-0.017865552,0.48,-0.006818861,0.144,1
13/02/2018,0.25,0.75,0.3,0.7,-0.2229575,1,0.22580645,0.77419355,0.0068,-0.02977592,0.8,-0.022729536,0.48,-0.144,0.0714436,1
14/02/2018,0.03846154,0.96153846,0.05882353,0.94117647,-0.0372199,1,0.12605042,0.87394958,0.0233,-0.03788256,0.8,-0.48,0.238145333,-0.015017544,0.144,1
15/02/2018,0.13333333,0.86666667,0.09302326,0.90697674,-0.0473532,1,0.15476191,0.8452381,0.015,-0.8,0.396908888,-0.05005848,0.48,-0.024844262,0.144,-1
16/02/2018,0.5,0.5,0.58974359,0.41025641,-1,0.49613611,0.46666667,0.53333333,-0.0067,-0.0834308,0.8,-0.082814208,0.48,-0.015587698,0.144,-1
20/02/2018,0.25,0.75,0.19402985,0.80597015,-0.1042885,1,0.15503876,0.84496124,0.012,-0.13802368,0.8,-0.051958992,0.48,-0.071023392,0.144,1
21/02/2018,0.36363636,0.63636364,0.33898305,0.66101695,-0.1725296,1,0.26126126,0.73873874,0.0019,-0.08659832,0.8,-0.23674464,0.48,-0.144,0.041234988,-1
22/02/2018,0.14285714,0.85714286,0.14285714,0.85714286,-0.1082479,1,0.20408163,0.79591837,-0.0039,-0.3945744,0.8,-0.48,0.137449958,-0.017431963,0.144,-1
23/02/2018,0.5,0.5,0.92857143,0.07142857,-0.493218,1,0.68181818,0.31818182,0.0083,-0.8,0.229083264,-0.058106544,0.48,-0.144,0.125693178,1
26/02/2018,0.12903226,0.87096774,0.35211268,0.64788732,-1,0.28635408,0.36231884,0.63768116,0.0067,-0.09684424,0.8,-0.48,0.418977259,-0.044865086,0.144,-1
27/02/2018,0.15789474,0.84210526,0.1369863,0.8630137,-0.1210553,1,0.21428571,0.78571429,-0.0013,-0.8,0.698295432,-0.149550288,0.48,-0.0292806,0.144,-1
28/02/2018,0.57142857,0.42857143,0.21428571,0.78571429,-1,0.87286929,0.24675325,0.75324675,-0.0115,-0.24925048,0.8,-0.097602,0.48,-0.016021281,0.144,-1
1/03/2018,0.16666667,0.83333333,0.42857143,0.57142857,-0.3115631,1,0.21917808,0.78082192,-0.0032,-0.16267,0.8,-0.1070196,0.48,-0.026827456,0.144,-1
2/03/2018,0.4375,0.5625,0.2962963,0.7037037,-0.2033375,1,0.3655914,0.6344086,-0.0082,-0.08700056,0.8,-0.017865552,0.48,-0.064151985,0,1
5/03/2018,1,0,0.375,0.625,-0.1087507,1,0.25,0.75,0.0005,0,0,-0.1070196,0.48,0,0.144,1
6/03/2018,0.202797203,0.797202797,0.151234568,0.848765432,-0.317071862,1,0.22406639,0.77593361,0.0045,-0.746530398,0.8,-0.017865552,0.48,-0.053816594,0.144,1
7/03/2018,0.1875,0.8125,0.292332268,0.707667732,-0.933162998,1,0.258302583,0.741697417,0.0076,-0.168342263,0.8,-0.1070196,0.48,-0.052796214,0.144,-1
8/03/2018,0.253521127,0.746478873,0.383928571,0.616071429,-0.210427829,1,0.343862816,0.656137184,-0.0203,-0.29898108,0.8,-0.017865552,0.48,-0.087111643,0.144,1
9/03/2018,0.21182266,0.78817734,0.271232877,0.728767123,-0.37372635,1,0.26875,0.73125,0.0021,-0.293312301,0.8,-0.290372144,0.48,-0.016021281,0.144,-1
