Date,-1,1,-1,1,-1,1,-1,1,avgPrice_chang,lag1,,lag2,,stock_price_movement
2/01/2018,0.4,0.6,0.37931035,0.62068966,-0.3181474,1,0.33333333,0.66666667,0,-0.35698992,0.8,-0.200921904,0.48,1
3/01/2018,0.21428571,0.78571429,0.17857143,0.82142857,-0.4462374,1,0.30322581,0.69677419,0.0041,-0.33486984,0.8,-0.088391568,0.48,-1
4/01/2018,0.25,0.75,0.25581395,0.74418605,-0.4185873,1,0.30645161,0.69354839,-0.0006,-0.14731928,0.8,-0.035785152,0.48,1
5/01/2018,0.33333333,0.66666667,0.11627907,0.88372093,-0.1841491,1,0.32402235,0.67597765,0.0081,-0.05964192,0.8,-0.080561424,0.48,-1
8/01/2018,0.16666667,0.83333333,0.31578947,0.68421053,-0.0745524,1,0.37716263,0.62283737,-0.0031,-0.13426904,0.8,-0.0114768,0.48,-1
9/01/2018,0.37142857,0.62857143,0.19047619,0.80952381,-0.1678363,1,0.22068966,0.77931035,-0.0026,-0.019128,0.8,-0.113565312,0.48,1
10/01/2018,0.18181818,0.81818182,0.07471264,0.92528736,-0.02391,1,0.15753425,0.84246575,0.0088,-0.18927552,0.8,-0.102355296,0.48,1
11/01/2018,0.25,0.75,0.21568628,0.78431373,-0.2365944,1,0.22774869,0.77225131,0.0465,-0.17059216,0.8,-0.294834336,0.48,1
12/01/2018,0.13793103,0.86206897,0.375,0.625,-0.2132402,1,0.32142857,0.67857143,0.0074,-0.49139056,0.8,-0.48,0.206071982,1
16/01/2018,0.38550725,0.61449275,0.42110656,0.57889344,-0.6142382,1,0.40160858,0.59839142,-0.0222,-0.8,0.343453304,-0.344206512,0.48,-1
17/01/2018,0.40650407,0.59349594,0.22690438,0.77309562,-1,0.42931663,0.31905679,0.68094322,-0.0976,-0.57367752,0.8,-0.277503024,0.48,-1
18/01/2018,0.32,0.68,0.24279835,0.75720165,-0.7170969,1,0.32947977,0.67052023,-0.0279,-0.46250504,0.8,-0.111035808,0.48,1
19/01/2018,0.41176471,0.58823529,0.42735043,0.57264957,-0.5781313,1,0.43581081,0.56418919,0.0107,-0.18505968,0.8,-0.088938,0.48,-1
22/01/2018,0.31111111,0.68888889,0.22068966,0.77931035,-0.2313246,1,0.3089701,0.6910299,-0.0123,-0.14823,0.8,-0.48,0.335055115,-1
23/01/2018,0.43548387,0.56451613,0.39380531,0.60619469,-0.1852875,1,0.41818182,0.58181818,-0.0199,-0.8,0.558425192,-0.085583712,0.48,-1
24/01/2018,0.25,0.75,0.29661017,0.70338983,-1,0.69803149,0.33471074,0.66528926,-0.0113,-0.14263952,0.8,-0.259807776,0.48,1
25/01/2018,0.29787234,0.70212766,0.35616438,0.64383562,-0.1782994,1,0.36054422,0.63945578,0.0003,-0.43301296,0.8,-0.379306176,0.48,-1
26/01/2018,0.26666667,0.73333333,0.38554217,0.61445783,-0.5412662,1,0.35436893,0.64563107,0.0243,-0.63217696,0.8,-0.073614768,0.48,1
29/01/2018,0.22580645,0.77419355,0.29473684,0.70526316,-0.7902212,1,0.28645833,0.71354167,0.0079,-0.12269128,0.8,-0.17193984,0.48,-1
30/01/2018,0.27272727,0.72727273,0.20895522,0.79104478,-0.1533641,1,0.25,0.75,-0.0111,-0.2865664,0.8,-0.48,0.468219432,-1
31/01/2018,0.60714286,0.39285714,0.34146342,0.65853659,-0.358208,1,0.33544304,0.66455696,-0.0065,-0.8,0.78036572,-0.48,0.088273392,-1
1/02/2018,0.23529412,0.76470588,0.22641509,0.77358491,-1,0.97545715,0.32061069,0.67938931,0.0153,-0.8,0.14712232,-0.095082432,0.48,1
2/02/2018,0.34285714,0.65714286,0.44791667,0.55208333,-1,0.1839029,0.38053097,0.61946903,0.0144,-0.15847072,0.8,-0.24113352,0.48,-1
5/02/2018,0.42857143,0.57142857,0.49230769,0.50769231,-0.1980884,1,0.46470588,0.53529412,-0.01,-0.4018892,0.8,-0.0429024,0.48,-1
6/02/2018,0.35849057,0.64150943,0.31428571,0.68571429,-0.5023615,1,0.42307692,0.57692308,-0.0347,-0.071504,0.8,-0.48,0.181709472,-1
7/02/2018,0.25,0.75,0.17708333,0.82291667,-0.08938,1,0.22009569,0.77990431,0.0074,-0.8,0.30284912,-0.190132752,0.48,1
8/02/2018,0.19230769,0.80769231,0.36046512,0.63953488,-1,0.3785614,0.33668342,0.66331658,0.0164,-0.31688792,0.8,-0.04630392,0.48,1
9/02/2018,0.31428571,0.68571429,0.34285714,0.65714286,-0.3961099,1,0.2754491,0.7245509,0.0052,-0.0771732,0.8,-0.085820976,0.48,-1
12/02/2018,0.31818182,0.68181818,0.28048781,0.7195122,-0.0964665,1,0.29444444,0.70555556,-0.0022,-0.14303496,0.8,-0.04396464,0.48,1
13/02/2018,0.14634146,0.85365854,0.15942029,0.84057971,-0.1787937,1,0.22429907,0.77570094,0.0266,-0.0732744,0.8,-0.10995144,0.48,1
14/02/2018,0.21212121,0.78787879,0.1496063,0.8503937,-0.091593,1,0.21634615,0.78365385,0.0359,-0.1832524,0.8,-0.095309712,0.48,1
15/02/2018,0.19047619,0.80952381,0.2761194,0.7238806,-0.2290655,1,0.24220624,0.75779377,0.0191,-0.15884952,0.8,-0.066712848,0.48,1
16/02/2018,0.256,0.744,0.25842697,0.74157303,-0.1985619,1,0.25137615,0.74862385,0.0341,-0.11118808,0.8,-0.159386352,0.48,-1
20/02/2018,0.25714286,0.74285714,0.14084507,0.85915493,-0.1389851,1,0.22222222,0.77777778,0.0031,-0.26564392,0.8,-0.120057696,0.48,-1
21/02/2018,0.21621622,0.78378378,0.19354839,0.80645161,-0.3320549,1,0.26530612,0.73469388,-0.017,-0.20009616,0.8,-0.075544176,0.48,1
22/02/2018,0.1875,0.8125,0.125,0.875,-0.2501202,1,0.25806452,0.74193548,0.0042,-0.12590696,0.8,-0.025130832,0.48,-1
23/02/2018,0.32258065,0.67741936,0.19191919,0.80808081,-0.1573837,1,0.21681416,0.78318584,0.0063,-0.04188472,0.8,-0.149537856,0.48,1
26/02/2018,0.25,0.75,0.22222222,0.77777778,-0.0523559,1,0.19354839,0.80645161,0.003,-0.24922976,0.8,-0.072710784,0.48,-1
27/02/2018,0.29545455,0.70454546,0.32307692,0.67692308,-0.3115372,1,0.31055901,0.68944099,0.0116,-0.12118464,0.8,-0.007845552,0.48,-1
28/02/2018,0.27586207,0.72413793,0.18181818,0.81818182,-0.1514808,1,0.25396825,0.74603175,-0.0092,-0.01307592,0.8,0,0,-1
1/03/2018,0.22222222,0.77777778,0,1,-0.0163449,1,0.16666667,0.83333333,-0.0006,0,0,0,0,1
2/03/2018,0.307692308,0.692307692,0.333333333,0.666666667,-0.184101081,1,0.302816901,0.697183099,0.0044,-0.031884844,0.8,-0.102804931,0.48,-1
5/03/2018,0.205882353,0.794117647,0.162790698,0.837209302,-0.039856055,1,0.25136612,0.74863388,-0.0081,-0.171341552,0.8,-0.107193318,0.48,-1
6/03/2018,0.125,0.875,0.086956522,0.913043478,-0.21417694,1,0.165714286,0.834285714,-0.0032,-0.17865553,0.8,-0.021757471,0.48,-1
7/03/2018,0.117647059,0.882352941,0.391752577,0.608247423,-0.223319413,1,0.394871795,0.605128205,-0.0025,-0.036262451,0.8,-0.294905598,0.48,1
8/03/2018,0,1,0.211267606,0.788732394,-0.045328064,1,0.255172414,0.744827586,-0.0014,-0.49150933,0.8,-0.14945835,0.48,-1
9/03/2018,0.625,0.375,0.566037736,0.433962264,-0.614386662,1,0.41025641,0.58974359,-0.0083,-0.24909725,0.8,-0.48,0.149353957,1
12/03/2018,0.222222222,0.777777778,0.237288136,0.762711864,-0.311371563,1,0.258278146,0.741721854,0.0165,-0.8,0.248923262,-0.139713421,0.48,1
13/03/2018,0.346153846,0.653846154,0.5,0.5,-1,0.311154078,0.426315789,0.573684211,0.0029,-0.232855702,0.8,-0.0990493,0.48,1
14/03/2018,0.484848485,0.515151515,0.346938776,0.653061224,-0.291069627,1,0.344497608,0.655502392,0.0069,-0.165082167,0.8,-0.208573336,0.48,1
15/03/2018,0.21875,0.78125,0.37254902,0.62745098,-0.206352709,1,0.320855615,0.679144385,0.0058,-0.347622227,0.8,-0.48,0.208393876,-1
16/03/2018,0.230769231,0.769230769,0.176923077,0.823076923,-0.434527784,1,0.201492537,0.798507463,-0.0041,-0.8,0.347323127,-0.070528904,0.48,-1
19/03/2018,0.506976744,0.493023256,0.593814433,0.406185567,-1,0.434153909,0.526734926,0.473265074,-0.003,-0.117548173,0.8,-0.48,0.168876308,-1
20/03/2018,0.242424242,0.757575758,0.285714286,0.714285714,-0.146935216,1,0.279461279,0.720538721,0.0054,-0.8,0.281460513,-0.195275331,0.48,-1
21/03/2018,0.391304348,0.608695652,0.515873016,0.484126984,-1,0.351825641,0.47146402,0.52853598,-0.0031,-0.325458886,0.8,-0.013022359,0.48,-1
22/03/2018,0.405405405,0.594594595,0.41221374,0.58778626,-0.406823607,1,0.423487544,0.576512456,-0.0134,-0.021703932,0.8,-0.126548524,0.48,-1
