Date,-1,1,-1,1,-1,1,-1,1,avgPrice_chang,lag1,,lag2,,stock_price_movement
2/01/2018,0,1,0.5,0.5,-0.041706393,1,0.065217391,0.934782609,0,-0.005307842,0.8,-0.48,0.39437603,1
3/01/2018,0.111111111,0.888888889,0.055555556,0.944444444,-0.006634803,1,0.164556962,0.835443038,0.0056,-0.8,0.657293383,-0.410677634,0.48,-1
4/01/2018,0.333333333,0.666666667,0.411764706,0.588235294,-1,0.821616729,0.285714286,0.714285714,-0.0131,-0.684462724,0.8,-0.00617943,0.48,1
5/01/2018,0.5,0.5,0.588235294,0.411764706,-0.855578405,1,0.318181818,0.681818182,0.0096,-0.01029905,0.8,-0.445625496,0.48,1
8/01/2018,0,1,0.121212121,0.878787879,-0.012873813,1,0.144736842,0.855263158,0.0104,-0.74270916,0.8,-0.48,0.186273673,1
9/01/2018,0.222222222,0.777777778,0.19047619,0.80952381,-0.92838645,1,0.169354839,0.830645161,-0.0005,-0.8,0.310456122,-0.091169963,0.48,-1
10/01/2018,0.377777778,0.622222222,0.423076923,0.576923077,-1,0.388070153,0.346504559,0.653495441,-0.0346,-0.151949938,0.8,-0.48,0.18240268,1
11/01/2018,0.055555556,0.944444444,0.277777778,0.722222222,-0.189937423,1,0.269230769,0.730769231,0.0235,-0.8,0.304004466,-0.019965876,0.48,-1
12/01/2018,0.727272727,0.272727273,0.466666667,0.533333333,-1,0.380005583,0.37704918,0.62295082,-0.0043,-0.03327646,0.8,-0.15115608,0.48,1
16/01/2018,0,1,0,1,-0.041595575,1,0.125,0.875,0.0066,-0.251926801,0.8,-0.002721984,0.48,1
17/01/2018,0.2,0.8,0.583333333,0.416666667,-0.314908501,1,0.316666667,0.683333333,0.0025,-0.004536641,0.8,-0.262671488,0.48,1
18/01/2018,0.333333333,0.666666667,0.181818182,0.818181818,-0.005670801,1,0.086956522,0.913043478,0.0045,-0.437785813,0.8,-0.005705545,0.48,-1
19/01/2018,0.505494505,0.494505495,0.545454545,0.454545455,-0.547232266,1,0.466176471,0.533823529,-0.0057,-0.009509242,0.8,-0.261193533,0.48,-1
22/01/2018,0.333333333,0.666666667,0.291666667,0.708333333,-0.011886552,1,0.214285714,0.785714286,-0.0051,-0.435322555,0.8,-0.045637502,0.48,1
23/01/2018,0.5,0.5,0.6,0.4,-0.544153194,1,0.341463415,0.658536585,0.006,-0.076062504,0.8,-0.062020569,0.48,-1
24/01/2018,0.636363636,0.363636364,0.35,0.65,-0.09507813,1,0.357142857,0.642857143,-0.0169,-0.103367614,0.8,-0.48,0.073031918,-1
25/01/2018,0.222222222,0.777777778,0.2,0.8,-0.129209518,1,0.293103448,0.706896552,-0.0052,-0.8,0.121719864,-0.48,0.055807731,-1
26/01/2018,0.666666667,0.333333333,0.789473684,0.210526316,-1,0.15214983,0.65,0.35,0.0158,-0.8,0.093012885,-0.073259546,0.48,-1
29/01/2018,0.333333333,0.666666667,0.444444444,0.555555556,-1,0.116266106,0.333333333,0.666666667,-0.0025,-0.122099243,0.8,-0.041496588,0.48,-1
30/01/2018,0,1,0.166666667,0.833333333,-0.152624054,1,0.211538462,0.788461538,-0.0066,-0.069160979,0.8,-0.051160197,0.48,1
31/01/2018,0.428571429,0.571428571,0.5,0.5,-0.086451224,1,0.34375,0.65625,0.0029,-0.085266995,0.8,-0.047038829,0.48,-1
1/02/2018,0,1,0.166666667,0.833333333,-0.106583744,1,0.258064516,0.741935484,0.0131,-0.078398048,0.8,-0.029084035,0.48,1
2/02/2018,0,1,0.2,0.8,-0.09799756,1,0.263157895,0.736842105,0.0102,-0.048473392,0.8,-0.016439549,0.48,-1
5/02/2018,0.333333333,0.666666667,0,1,-0.06059174,1,0.15,0.85,-0.0073,-0.027399248,0.8,-0.095340642,0.48,-1
6/02/2018,0,1,0.142857143,0.857142857,-0.03424906,1,0.083333333,0.916666667,-0.0077,-0.15890107,0.8,-0.038303716,0.48,-1
7/02/2018,0.222222222,0.777777778,0,1,-0.198626338,1,0.134615385,0.865384615,-0.0121,-0.063839526,0.8,-0.139638378,0.48,-1
8/02/2018,0.222222222,0.777777778,0,1,-0.079799408,1,0.193548387,0.806451613,-0.0074,-0.23273063,0.8,-0.1478702,0.48,-1
9/02/2018,0.428571429,0.571428571,0.444444444,0.555555556,-0.290913287,1,0.192307692,0.807692308,-0.0054,-0.246450334,0.8,-0.436388845,0.48,-1
12/02/2018,0.666666667,0.333333333,0.533333333,0.466666667,-0.308062917,1,0.377777778,0.622222222,-0.0068,-0.727314742,0.8,-0.090879088,0.48,1
13/02/2018,0.3,0.7,0.5625,0.4375,-0.909143428,1,0.28,0.72,-0.0076,-0.151465146,0.8,-0.107411592,0.48,1
14/02/2018,0.125,0.875,0.142857143,0.857142857,-0.189331433,1,0.214285714,0.785714286,0.0109,-0.179019321,0.8,-0.215942447,0.48,1
15/02/2018,0.333333333,0.666666667,0.3125,0.6875,-0.223774151,1,0.196078431,0.803921569,0.001,-0.359904078,0.8,-0.387407267,0.48,1
16/02/2018,0.428571429,0.571428571,0.692307692,0.307692308,-0.449880097,1,0.474576271,0.525423729,0.0037,-0.645678778,0.8,-0.003049225,0.48,-1
20/02/2018,0.25,0.75,0.529411765,0.470588235,-0.807098473,1,0.207792208,0.792207792,-0.0041,-0.005082042,0.8,-0.0094014,0.48,1
21/02/2018,0.25,0.75,0.1,0.9,-0.006352552,1,0.131578947,0.868421053,0.0001,-0.015668999,0.8,-0.000716784,0.48,-1
22/02/2018,0.090909091,0.909090909,0,1,-0.019586249,1,0.107692308,0.892307692,-0.0068,-0.001194641,0.8,-0.051183331,0.48,1
23/02/2018,0.083333333,0.916666667,0,1,-0.001493301,1,0.0875,0.9125,0.0099,-0.085305552,0.8,-0.055194897,0.48,1
26/02/2018,0.1,0.9,0,1,-0.10663194,1,0.098039216,0.901960784,0.0074,-0.091991494,0.8,-0.48,0.214354781,-1
27/02/2018,0.363636364,0.636363636,0.05,0.95,-0.114989368,1,0.163934426,0.836065574,-0.0088,-0.8,0.357257968,-0.000444852,0.48,1
28/02/2018,0.2,0.8,0.347826087,0.652173913,-1,0.44657246,0.226666667,0.773333333,0.0024,-0.000741419,0.8,-0.024552826,0.48,-1
1/03/2018,0.111111111,0.888888889,0,1,-0.000926774,1,0.025157233,0.974842767,0.006,-0.040921377,0.8,-0.001958009,0.48,1
2/03/2018,0.5,0.5,0,1,-0.051151721,1,0.253731343,0.746268657,0.0021,-0.003263348,0.8,0,0,1
5/03/2018,0,1,0,1,-0.004079185,1,0.058823529,0.941176471,0.007,0,0,0,0,1
