Date,-1,1,-1,1,-1,1,-1,1,avgPrice_chang,lag1,,lag2,,lag3,,stock_price_movement
2/01/2018,0.34892086,0.65107914,0.37566138,0.62433862,-0.2614808,1,0.34779357,0.65220643,0.0304,-0.49325344,0.8,-0.065780112,0.48,-0.144,0.030955949,1
3/01/2018,0.34728034,0.65271967,0.74781439,0.25218561,-0.6165668,1,0.63303189,0.36696811,0.0016,-0.10963352,0.8,-0.48,0.103186498,-0.036146203,0.144,1
4/01/2018,0.3122172,0.68778281,0.28794643,0.71205357,-0.1370419,1,0.30753564,0.69246436,0.0496,-0.8,0.171977496,-0.120487344,0.48,-0.021722054,0.144,1
5/01/2018,0.24305556,0.75694444,0.30911901,0.69088099,-1,0.21497187,0.31,0.69,-0.0089,-0.20081224,0.8,-0.072406848,0.48,-0.076176677,0.144,-1
8/01/2018,0.21839081,0.7816092,0.33729569,0.66270431,-0.2510153,1,0.33207071,0.66792929,-0.0176,-0.12067808,0.8,-0.253922256,0.48,-0.107498794,0.144,1
9/01/2018,0.32857143,0.67142857,0.27147766,0.72852234,-0.1508476,1,0.28088235,0.71911765,0.0149,-0.42320376,0.8,-0.358329312,0.48,-0.144,0.133746157,1
10/01/2018,0.37254902,0.62745098,0.37396122,0.62603878,-0.5290047,1,0.38186158,0.61813843,0.0101,-0.59721552,0.8,-0.48,0.445820525,-0.036804715,0.144,-1
11/01/2018,0.41538462,0.58461539,0.36065574,0.63934426,-0.7465194,1,0.375,0.625,0.0124,-0.8,0.743034208,-0.122682384,0.48,-0.095153328,0.144,-1
12/01/2018,0.4787234,0.5212766,0.35404896,0.64595104,-1,0.92879276,0.36911765,0.63088235,-0.0281,-0.20447064,0.8,-0.31717776,0.48,-0.028877083,0.144,-1
16/01/2018,0.30927835,0.69072165,0.28596187,0.71403813,-0.2555883,1,0.28510029,0.71489971,-0.0009,-0.5286296,0.8,-0.096256944,0.48,-0.04475736,0.144,1
17/01/2018,0.34782609,0.65217391,0.32,0.68,-0.660787,1,0.3223301,0.6776699,0.0054,-0.16042824,0.8,-0.1491912,0.48,-0.014570568,0.144,1
